Student_ID,Name,Gender,Age,Course,Marks,Attendance
101,Amit,Male,19,BSc CS,78,85
102,Sneha,Female,20,BSc CS,85,92
103,Rahul,Male,19,BSc IT,67,76
104,Priya,Female,21,BSc CS,92,95
105,Neha,Female,20,BSc IT,88,89
106,Rohan,Male,19,BSc CS,74,81
107,Pooja,Female,21,BSc IT,81,87
108,Karan,Male,20,BSc CS,69,72
109,Anjali,Female,19,BSc CS,95,96
110,Vikas,Male,21,BSc IT,56,68
111,Meena,Female,20,BSc CS,73,79
112,Arjun,Male,19,BSc IT,64,74
113,Simran,Female,21,BSc CS,89,91
114,Akash,Male,20,BSc IT,71,82
115,Kavita,Female,19,BSc CS,83,88
116,Manish,Male,21,BSc IT,49,65
117,Riya,Female,20,BSc CS,91,94
118,Raj,Male,19,BSc IT,58,70
119,Nisha,Female,21,BSc CS,77,84
120,Sachin,Male,20,BSc IT,86,90
